"","parent_school_name","n"
"1","107th Street Elementary",280
"2","153rd Street Elementary",191
"3","153rd Street Elementary DL Two-Way Im Spanish",21
"4","1st Street Elementary",186
"5","28th Street ES",166
"6","28th Street Elementary",41
"7","28th Street Elementary DL One-Way Im Spanish",30
"8","2nd Street Elementary",102
"9","2nd Street Elementary DL Two-Way Im Spanish",15
"10","42nd Street Elementary",91
"11","42nd Street Elementary DL World Lang Im Spanish",13
"12","54th Street Elementary",122
"13","59th Street Elementary",129
"14","66th Street Elementary",262
"15","74th Street Elementary",141
"16","75Th Street Elementary DL Two-Way Im Spanish",67
"17","75th Street Elementary",270
"18","93rd Street Elementary",244
"19","93rd Street Elementary DL Two-Way Im Spanish",44
"20","99th Street Elementary",193
"21","9th Street ES",111
"22","9th Street Elementary",23
"23","Abraham Lincoln Senior High",342
"24","Alta California Elementary",220
"25","Alta Loma Elementary",165
"26","Alta Loma Elementary DL Two-Way Im Spanish",25
"27","Amestoy Elementary",217
"28","Arleta Senior High",479
"29","Arlington Heights Elementary",125
"30","Arlington Heights Elementary DL Two-Way Im Spanish",17
"31","Arminta Street Elementary",182
"32","Audubon Middle School",200
"33","Augustus F Hawkins SH - Critical Design",48
"34","Augustus Hawkins Senior High",288
"35","Baldwin Hills Elementary",118
"36","Beachy Avenue Elementary",199
"37","Bonita Street Elementary",170
"38","Cal Burke High School",58
"39","Carlos Santana Arts Academy",127
"40","Carlos Santana Arts Academy DL Two-Way Im Spanish",53
"41","Carmen Lomas Garza Primary Center",78
"42","Caroldale Learning Community",293
"43","Carver MS",244
"44","Catskill Avenue Elementary",185
"45","Catskill Avenue Elementary DL Two-Way Im Spanish",16
"46","Chapman Elementary",125
"47","Chapman Elementary DL Two-Way Im Mandarin",20
"48","Charnock Road Elementary",146
"49","Chase Street Elementary",221
"50","Cheremoya Avenue Elementary",89
"51","Cienega Elementary",197
"52","Cienega Elementary DL Two-Way Im Spanish",25
"53","Coliseum Street Elementary",96
"54","Columbus Avenue Elementary",171
"55","Corona Avenue Elementary",255
"56","Denker Avenue Elementary",238
"57","Denker Avenue Elementary DL Two-Way Im Korean",35
"58","Dolores Street Elementary",209
"59","El Sereno Elementary",118
"60","Elizabeth LC DL Two-Way Im Arabic",16
"61","Elizabeth Learning Center",574
"62","Ellen Ochoa LC DL Two-Way Im Spanish",84
"63","Ellen Ochoa Learning Center",397
"64","Erwin Elementary",263
"65","Euclid Avenue Elementary",186
"66","Euclid Avenue Elementary DL Two-Way Im Spanish",57
"67","Farmdale Elementary",158
"68","Farmdale Elementary DL Two-Way Im Spanish",35
"69","Felicitas And Gonzalo Mendez Senior High",395
"70","Fernangeles DL One & Two-Way Im Spanish",32
"71","Fernangeles Elementary",211
"72","Figueroa Street Elementary",162
"73","Florence Avenue Elementary",203
"74","Florence Avenue Elementary DL Two-Way Im Spanish",77
"75","Florence Griffith Joyner Elementary",177
"76","Frank Del Olmo Elementary",259
"77","Gardner Street Elementary",104
"78","George Washington Carver Middle School",45
"79","Glenn Hammond Curtiss Middle School",107
"80","Harold McAlister High School CYESIS",67
"81","Harvard Elementary",134
"82","Harvard Elementary DL Two-Way Im Spanish",13
"83","Hazeltine Avenue Elementary",247
"84","Hillcrest Drive Elementary",159
"85","Hillcrest Drive Elementary DL Two-Way Im Spanish",26
"86","Hollywood Elementary",115
"87","Hope Street Elementary",192
"88","Huntington Park Elementary",122
"89","Huntington Park Elementary DL Two-Way Im Spanish",22
"90","Jaime Escalante Elementary School",197
"91","John H Francis Polytechnic Senior High",806
"92","Judith F Baca Arts Acad DL Two-Way Im Spanish",52
"93","Judith F Baca Arts Academy",212
"94","Julie Korenstein Elementary",146
