,parent_school_name,school_name_clean
1,107th Street Elementary,107th Street Elementary
2,153rd Street Elementary,153rd Street Elementary
3,153rd Street Elementary DL Two-Way Im Spanish,153rd Street Elementary
4,1st Street Elementary,1st Street Elementary
5,28th Street ES,28th Street Elementary
6,28th Street Elementary,28th Street Elementary
7,28th Street Elementary DL One-Way Im Spanish,28th Street Elementary
8,2nd Street Elementary,2nd Street Elementary
9,2nd Street Elementary DL Two-Way Im Spanish,2nd Street Elementary
10,42nd Street Elementary,42nd Street Elementary
11,42nd Street Elementary DL World Lang Im Spanish,42nd Street Elementary
12,54th Street Elementary,54th Street Elementary
13,59th Street Elementary,59th Street Elementary
14,66th Street Elementary,66th Street Elementary
15,74th Street Elementary,74th Street Elementary
16,75Th Street Elementary DL Two-Way Im Spanish,75th Street Elementary
17,75th Street Elementary,75th Street Elementary
18,93rd Street Elementary,93rd Street Elementary
19,93rd Street Elementary DL Two-Way Im Spanish,93rd Street Elementary
20,99th Street Elementary,99th Street Elementary
21,9th Street ES,9th Street Elementary
22,9th Street Elementary,9th Street Elementary
23,Abraham Lincoln Senior High,Abraham Lincoln Senior High
24,Alta California Elementary,Alta California Elementary
25,Alta Loma Elementary,Alta Loma Elementary
26,Alta Loma Elementary DL Two-Way Im Spanish,Alta Loma Elementary
27,Amestoy Elementary,Amestoy Elementary
28,Arleta Senior High,Arleta Senior High
29,Arlington Heights Elementary,Arlington Heights Elementary
30,Arlington Heights Elementary DL Two-Way Im Spanish,Arlington Heights Elementary
31,Arminta Street Elementary,Arminta Street Elementary
32,Audubon Middle School,Audubon Middle School
33,Augustus F Hawkins SH - Critical Design,Augustus Hawkins Senior High
34,Augustus Hawkins Senior High,Augustus Hawkins Senior High
35,Baldwin Hills Elementary,Baldwin Hills Elementary
36,Beachy Avenue Elementary,Beachy Avenue Elementary
37,Bonita Street Elementary,Bonita Street Elementary
38,Cal Burke High School,Cal Burke High School
39,Carlos Santana Arts Academy,Carlos Santana Arts Academy
40,Carlos Santana Arts Academy DL Two-Way Im Spanish,Carlos Santana Arts Academy
41,Carmen Lomas Garza Primary Center,Carmen Lomas Garza Primary Center
42,Caroldale Learning Community,Caroldale Learning Community
43,Carver MS,Carver MS
44,Catskill Avenue Elementary,Catskill Avenue Elementary
45,Catskill Avenue Elementary DL Two-Way Im Spanish,Catskill Avenue Elementary
46,Chapman Elementary,Chapman Elementary
47,Chapman Elementary DL Two-Way Im Mandarin,Chapman Elementary
48,Charnock Road Elementary,Charnock Road Elementary
49,Chase Street Elementary,Chase Street Elementary
50,Cheremoya Avenue Elementary,Cheremoya Avenue Elementary
51,Cienega Elementary,Cienega Elementary
52,Cienega Elementary DL Two-Way Im Spanish,Cienega Elementary
53,Coliseum Street Elementary,Coliseum Street Elementary
54,Columbus Avenue Elementary,Columbus Avenue Elementary
55,Corona Avenue Elementary,Corona Avenue Elementary
56,Denker Avenue Elementary,Denker Avenue Elementary
57,Denker Avenue Elementary DL Two-Way Im Korean,Denker Avenue Elementary
58,Dolores Street Elementary,Dolores Street Elementary
59,El Sereno Elementary,El Sereno Elementary
60,Elizabeth LC DL Two-Way Im Arabic,Elizabeth Learning Center
61,Elizabeth Learning Center,Elizabeth Learning Center
62,Ellen Ochoa LC DL Two-Way Im Spanish,Ellen Ochoa Learning Center
63,Ellen Ochoa Learning Center,Ellen Ochoa Learning Center
64,Erwin Elementary,Erwin Elementary
65,Euclid Avenue Elementary,Euclid Avenue Elementary
